"id","journal","date","annee","pages","format_mm"
lematin_18870101,Le Matin,1887-01-01,1887,2,426x594
lematin_18870102,Le Matin,1887-01-02,1887,2,430x595
lematin_18870103,Le Matin,1887-01-03,1887,2,429x595
lematin_18870104,Le Matin,1887-01-04,1887,2,429x595
lematin_18870105,Le Matin,1887-01-05,1887,2,430x595
lematin_18870106,Le Matin,1887-01-06,1887,2,429x595
lematin_18870107,Le Matin,1887-01-07,1887,2,427x596
lematin_18870108,Le Matin,1887-01-08,1887,2,431x594
lematin_18870109,Le Matin,1887-01-09,1887,2,428x595
lematin_18870110,Le Matin,1887-01-10,1887,2,429x596
lematin_18870111,Le Matin,1887-01-11,1887,2,429x594
lematin_18870112,Le Matin,1887-01-12,1887,2,429x595
lematin_18870113,Le Matin,1887-01-13,1887,2,430x594
lematin_18870114,Le Matin,1887-01-14,1887,2,431x594
lematin_18870115,Le Matin,1887-01-15,1887,2,430x594
lematin_18870116,Le Matin,1887-01-16,1887,2,428x594
lematin_18870117,Le Matin,1887-01-17,1887,2,432x595
lematin_18870118,Le Matin,1887-01-18,1887,2,433x593
lematin_18870119,Le Matin,1887-01-19,1887,2,428x594
lematin_18870120,Le Matin,1887-01-20,1887,2,428x594
lematin_18870121,Le Matin,1887-01-21,1887,2,429x596
lematin_18870122,Le Matin,1887-01-22,1887,2,428x595
lematin_18870123,Le Matin,1887-01-23,1887,2,433x595
lematin_18870124,Le Matin,1887-01-24,1887,2,430x595
lematin_18870125,Le Matin,1887-01-25,1887,2,435x595
lematin_18870126,Le Matin,1887-01-26,1887,2,429x594
lematin_18870127,Le Matin,1887-01-27,1887,2,431x597
lematin_18870128,Le Matin,1887-01-28,1887,2,428x594
lematin_18870129,Le Matin,1887-01-29,1887,2,427x594
lematin_18870130,Le Matin,1887-01-30,1887,2,430x595
lematin_18870131,Le Matin,1887-01-31,1887,2,427x594
lematin_18870201,Le Matin,1887-02-01,1887,2,428x594
lematin_18870202,Le Matin,1887-02-02,1887,2,429x595
lematin_18870203,Le Matin,1887-02-03,1887,2,428x594
lematin_18870204,Le Matin,1887-02-04,1887,2,431x597
lematin_18870205,Le Matin,1887-02-05,1887,2,434x596
lematin_18870206,Le Matin,1887-02-06,1887,2,430x596
lematin_18870207,Le Matin,1887-02-07,1887,2,430x597
lematin_18870208,Le Matin,1887-02-08,1887,2,428x596
lematin_18870209,Le Matin,1887-02-09,1887,2,430x595
lematin_18870210,Le Matin,1887-02-10,1887,2,429x594
lematin_18870211,Le Matin,1887-02-11,1887,2,430x595
lematin_18870212,Le Matin,1887-02-12,1887,2,430x594
lematin_18870213,Le Matin,1887-02-13,1887,2,429x594
lematin_18870214,Le Matin,1887-02-14,1887,2,432x594
lematin_18870215,Le Matin,1887-02-15,1887,2,429x594
lematin_18870216,Le Matin,1887-02-16,1887,2,432x597
lematin_18870217,Le Matin,1887-02-17,1887,2,428x594
lematin_18870218,Le Matin,1887-02-18,1887,2,430x594
lematin_18870219,Le Matin,1887-02-19,1887,2,429x595
lematin_18870220,Le Matin,1887-02-20,1887,2,430x594
lematin_18870221,Le Matin,1887-02-21,1887,2,433x595
lematin_18870222,Le Matin,1887-02-22,1887,2,428x593
lematin_18870223,Le Matin,1887-02-23,1887,2,429x595
