Référence	ContexteGauche	Pivot	ContexteDroit
lematin_18870504	réaliser fois veut aujourd république pacifique intérêt Libéral admet général	Boulanger intention reconquérir AlsaceLorraino trouverait contre ambition dictatoriale	pays entier intérêt France ajoulet éviter guerre dernière extrémité PRINCE
lematin_18870626	Vosges Champagne donnez suite militaire aidera àles défendre fera proclamer	dictateur vaut infiniment mieux gouverné Bismarck Boulanger	Devenu aveugle incapable professer fin vie inscrire bureau do bienfaisance
lematin_18870708	êtes do laissent créer République situation homme providentiel gé néral	Boulanger militaire politiqueClémenceau savez bien déteste dictature	particulièrement horreur dictature sabre jamais considéré général Boulanger sauveur homme
lematin_18870708	homme providentiel gé néral Boulanger militaire politiqueClémenceau savez bien déteste	dictature particulièrement horreur dictature sabre jamais considéré général Boulanger	sauveur homme providentiel égard moque personnage voudrait faire jouer rôle
lematin_18870711	déconfite jacobins imaginent définitivement inoculé république pays vqiçnt malade réclamer	dictature lecteurs Matin savent combattu général Boulanger	républicains opportunistes couvraient fleurs conservateurs réservaient imaginant supputaient faire litre
lematin_18870711	flans Ja presse française dénonçant péril boulangiste porte humble signature	Boulanger voyais dictateur	monde Boulanger voyais simplement brouillon militaire mettrait Allemagne bras convaincu
lematin_18870711	presse française dénonçant péril boulangiste porte humble signature Boulanger voyais	dictateur monde Boulanger	voyais simplement brouillon militaire mettrait Allemagne bras convaincu Boulanger mission
lematin_18870711	soyons vainqueurs soyons vaincus serions réduits misère France ferait faillite	Boulanger donnerait pain disant patriotisme revanchards dangereux amour instinctif dictature	paraissent louables veulent renverser existe convaincu mettraient place pourri ignoble
lematin_18870712	incarner gouvernement homme homme tarde trop produire crée spontanément général	Boulanger été désigné dictature	jour menacé collègues mettre Mazas menace doute apocryphe suffi renommée
lematin_18870712	militaire Parisiens vue barricades morts combattant Non Parisiens jamais voulu	dictature général Boulanger	inconnu do prendre ministère guerre savait nomLaur oubliez ila réveillé
lematin_18870731	rade victimes GÉNÉRAL BOULANGER opinion Angleterre exministre guerre République dangers	dictature FIL SPÉCIAL LONDRESjuillet occupe beaucoup ici temps général Boulanger	L Evening Standard livre sujet appréciations intéressant reproduire résument sorte
lematin_18870919	été modifiée reddition Metz issue fatalo guerre do Aujourd convaincu	dictature militaire semi sôc liste général Boulanger	césarisme historique prince Victor Bo aparté monarchie orléaniste contre République
lematin_18871114	Déroulède fédération travailleurs socialistes France pris prétexte arrivée prochaine général	Boulanger Paris organiser hiersalle Lévis meeting protestation contre dictature	militaire appel organisateurs été entendu salle Lévis absolument combe évaluer
lematin_18871128	Commune sollicite général Trochu prendre dictature voyez ajouteLavyRochefort touiours été	dictature wi inir n trefois Troehu aujourd Boulanger	orateurs succèdent tribune recommandant peuple tranquilité priant aller exaltations malsaines
