Occ	Fréq	CoFréq	Indice	DistMoy
Russie	2759	344	197.8863	1.6598837
France	4664	409	177.8793	1.6503668
guerre	3501	215	66.0045	2.088372
empereur	1579	143	64.5711	1.3006994
Allemagne	2376	162	55.9337	3.1790123
Bismarck	1203	115	54.5442	2.7565217
Italie	1345	118	52.0289	1.661017
prince	3530	178	43.1495	2.050562
Berlin	1509	111	41.6948	3.2072072
contre	3712	163	32.6104	1.7607362
paix	1487	88	26.5051	2.75
Angleterre	1601	89	24.9177	2.0
CORRESPONDANT	1649	70	13.8508	2.4285715
question	3634	98	7.7114	2.6020408
politique	3012	84	7.3266	2.6547618
SPÉCIAL	4272	98	4.7354	3.0306122
aujourd	3289	71	2.9374	2.7183099
SERVICE	3774	79	2.8326	2.5696204
