Occ	Fréq	CoFréq	Indice	DistMoy
Boulanger	1031	165	134.1623	5.5878787
général	5213	957	127.0	1.107628
Vive	316	65	60.8611	1.2769231
guerre	3501	171	57.6318	4.4561405
témoins	387	57	44.9171	2.877193
Ferron	373	54	42.197	4.037037
armée	1978	91	29.2459	5.054945
cris	314	36	24.8366	2.5833333
lettre	1330	64	21.856	3.859375
Ferry	719	47	21.5586	4.574468
ministre	4467	125	20.3397	4.504
crier	100	17	15.0624	3.4705882
ministère	2519	73	12.9814	4.5616436
manifestation	365	25	12.3133	5.2
Rochefort	105	15	12.2234	4.3333335
Limousin	407	26	12.0825	4.3461537
soldat	350	23	11.027	4.869565
duel	172	16	10.0951	4.6875
