Occ	Fréq	CoFréq	Indice	DistMoy
général	5213	418	127.0	1.3779905
guerre	3501	112	63.5476	4.669643
Ferron	373	48	56.027	6.2708335
ministre	4467	105	47.2705	4.4666667
Boulanger	1031	51	38.3896	3.9607842
projet	2446	62	30.0371	4.209677
mobilisation	508	30	25.1662	5.8
armée	1978	45	20.2339	5.4
commission	2879	42	12.3966	4.452381
étatmajor	236	14	12.1882	4.714286
projets	479	18	12.0766	3.2222223
officiers	836	22	11.5198	4.8636365
supérieur	277	13	10.0994	5.4615383
ministres	1315	25	9.9817	5.44
officier	381	14	9.4299	6.214286
Rouvier	636	17	9.1749	5.2941175
Caffarel	212	11	9.1081	2.909091
conseil	3078	37	8.7397	4.8378377
corps	1437	23	7.8629	5.3913045
Vive	316	11	7.3177	2.2727273
tribune	452	12	6.6502	3.0833333
militaires	769	15	6.4201	3.2666667
troupes	1002	17	6.3424	4.2941175
ministère	2519	28	6.1388	4.357143
propos	646	13	5.8012	3.8461537
militaire	1260	18	5.6229	5.111111
essai	227	8	5.5322	5.625
artillerie	393	10	5.4871	6.1
cris	314	9	5.4135	3.5555556
expérience	327	9	5.2718	4.5555553
loi	2067	23	5.1784	5.0869565
génie	291	8	4.7491	4.125
bataille	221	7	4.616	5.142857
budget	1955	21	4.5686	4.5238094
infanterie	309	8	4.5638	5.625
commandant	527	10	4.396	5.4
entendu	529	10	4.3823	2.4
banquet	284	7	3.9329	3.7142856
manœuvres	288	7	3.8956	6.0
régiments	210	6	3.7918	4.6666665
réduction	211	6	3.7806	6.6666665
tendant	313	7	3.6751	4.571429
réforme	322	7	3.6007	3.2857144
décret	323	7	3.5926	5.428571
accepté	229	6	3.5896	2.0
concentration	324	7	3.5845	4.714286
parlementaire	456	8	3.4085	4.875
soldat	350	7	3.3841	5.428571
honneur	1118	13	3.3837	4.6153846
voyage	605	9	3.2458	2.7777777
relatif	269	6	3.2208	3.6666667
objet	500	8	3.1485	5.875
division	289	6	3.0597	4.0
plan	298	6	2.9914	4.5
préfecture	299	6	2.984	4.8333335
propose	305	6	2.94	1.6666666
chef	1264	13	2.9023	3.3076923
reprises	212	5	2.8744	2.8
économies	434	7	2.8423	4.285714
nomination	320	6	2.8344	3.8333333
bureau	707	9	2.7789	4.111111
déposé	224	5	2.7697	5.4
cabinet	2176	18	2.7121	5.8333335
expliquer	243	5	2.6167	4.4
généraux	478	7	2.608	2.857143
maire	488	7	2.5585	6.142857
mis	1073	11	2.5334	5.818182
termes	497	7	2.5151	3.5714285
revue	264	5	2.4631	4.8
matin	2122	17	2.4567	4.882353
hier	4023	27	2.4517	5.148148
crédits	388	6	2.4213	4.0
frontière	661	8	2.3997	2.25
lundi	394	6	2.3892	4.5
accompagné	282	5	2.3427	2.6
gouverneur	404	6	2.3371	3.5
rapporteur	294	5	2.2674	3.2
chefs	421	6	2.2521	3.1666667
ailleurs	1018	10	2.2277	5.2
Parlement	884	9	2.1526	4.5555553
Ajoutons	202	4	2.1288	1.5
ans	1750	14	2.118	4.357143
service	1576	13	2.1079	5.4615383
réaliser	210	4	2.071	4.75
secret	210	4	2.071	4.75
