Occ	Fréq	CoFréq	Indice	DistMoy
guerre	3501	355	127.8656	2.6366198
ministre	4467	935	127.0	0.36791444
ministère	2519	274	106.0671	0.580292
général	5213	398	103.6268	2.585427
paix	1487	198	92.4305	2.1414142
Allemagne	2376	205	62.4065	2.0536585
France	4664	280	52.0039	1.9928571
armée	1978	154	41.7389	2.831169
Boulanger	1031	109	41.678	2.3119266
cas	1565	133	40.1649	1.0751879
Russie	2759	174	35.2874	2.0632184
militaire	1260	99	27.5072	2.939394
temps	3000	152	21.444	1.5131578
contre	3712	169	19.1083	1.8816568
ministres	1315	86	18.9112	1.5581396
faire	5592	215	15.8255	1.8976744
corps	1437	83	15.181	3.3253012
budget	1955	89	10.5045	1.8314607
projet	2446	99	8.8654	2.6363637
conseil	3078	109	6.6966	1.6605505
commission	2879	92	4.1219	2.9456522
