Occ	Fréq	CoFréq	Indice	DistMoy
sentiment	431	8	7.1515	0.625
mouvement	625	9	7.0327	0.33333334
monarchie	336	5	4.2258	2.2
coup	876	7	3.979	2.7142856
vote	895	7	3.922	0.0
peuple	917	7	3.8577	1.5714285
régime	451	5	3.6322	1.0
jamais	1801	9	3.4172	1.5555556
conservateur	335	4	3.1222	0.5
fête	374	4	2.9459	1.75
guerre	3501	12	2.8991	2.5
fût	401	4	2.8354	3.0
justice	695	5	2.7929	0.0
Boulanger	1031	6	2.7811	2.1666667
puissance	435	4	2.7073	1.5
œuvre	485	4	2.5379	2.75
tête	918	5	2.2807	1.8
occasion	928	5	2.2613	2.2
contre	3712	11	2.2383	2.090909
cause	1000	5	2.1287	0.6
