Occ	Fréq	CoFréq	Indice	DistMoy
cris	314	104	164.7887	0.52884614
Vive	316	84	123.8611	1.3928572
émotion	294	59	79.2089	0.22033899
cri	194	46	65.6474	1.0217391
crié	89	36	61.4412	0.44444445
Boulanger	1031	54	40.4971	0.24074075
Pologne	123	28	39.7416	0.2857143
satisfaction	413	33	30.9892	0.121212125
crier	100	21	29.1932	0.42857143
vive	379	30	28.1296	1.5333333
causé	226	24	25.7506	0.5833333
République	2672	59	24.2571	0.7457627
produit	740	33	22.924	0.6060606
impression	366	23	19.4997	0.26086956
accueilli	159	17	18.5207	1.7058823
poussé	113	15	17.8795	1.8
crie	74	11	13.8615	1.2727273
répétés	44	9	12.7892	0.8888889
Marseillaise	66	10	12.7479	2.0
sympathie	216	14	12.3506	0.85714287
criant	32	8	12.2017	0.5
sensation	98	10	10.9763	0.1
France	4664	54	10.7628	0.8148148
Gambetta	238	13	10.5857	3.0
discussion	1316	25	9.4233	0.64
roi	1192	23	8.8573	1.0434783
applaudissements	227	11	8.5172	2.2727273
Ferry	719	17	7.9911	1.4117647
polémique	102	8	7.9904	0.75
poussés	68	7	7.8941	2.0
Commune	114	8	7.6093	0.625
profonde	167	9	7.482	1.7777778
discours	1544	24	7.4317	2.2916667
altercation	10	4	7.2789	0.25
GrévyVive	3	3	7.1945	0.0
foule	722	16	7.1814	2.4375
salué	90	7	7.0406	2.0
manifestants	139	8	6.9388	2.0
accueillie	102	7	6.6657	1.7142857
sifflet	14	4	6.6063	2.5
crient	36	5	6.4597	0.8
cercles	464	12	6.2465	1.25
prisonmarks	5	3	6.1971	2.3333333
attention	398	11	6.0585	0.45454547
acclamé	80	6	6.0217	2.0
été	14760	99	5.9655	2.4949496
accueillies	21	4	5.8394	0.5
cria	22	4	5.7536	1.0
agitation	206	8	5.6454	0.875
passage	390	10	5.2799	1.9
monsieur	487	11	5.2232	1.1818181
Grévy	712	13	5.059	0.9230769
lutte	510	11	5.0367	0.8181818
Boulangerentendre	2	2	4.7963	0.0
FerronVive	2	2	4.7963	0.0
ltouvier	2	2	4.7963	0.0
vivu	2	2	4.7963	0.5
journalier	13	3	4.7512	3.3333333
écouté	79	5	4.7451	0.4
Gervex	14	3	4.6478	0.0
curiosité	84	5	4.6156	0.2
Ferron	373	9	4.607	1.0
saluant	16	3	4.4633	2.3333333
opposition	494	10	4.4045	0.5
accueillent	17	3	4.3803	1.6666666
entendre	604	11	4.3685	1.7272727
émo	3	2	4.3203	0.0
Vivo	18	3	4.3024	0.6666667
criait	20	3	4.1598	0.33333334
t	2904	27	4.126	2.074074
règne	249	7	4.1194	0.85714287
excite	21	3	4.0941	0.0
gare	544	10	4.0597	2.9
nez	110	5	4.0547	1.4
calmés	4	2	4.0205	2.5
Corte	4	2	4.0205	0.5
causent	23	3	3.9723	0.0
Déroulède	121	5	3.8599	1.4
inquiétude	123	5	3.8265	0.4
remercie	124	5	3.8101	2.0
tuetête	5	2	3.7998	2.0
salue	27	3	3.7596	1.6666666
acclamations	69	4	3.7461	2.0
fameux	131	5	3.6989	1.4
drapeau	297	7	3.6494	1.2857143
disperse	6	2	3.6248	0.5
impressionne	6	2	3.6248	0.0
meure	6	2	3.6248	0.0
Terni	6	2	3.6248	1.0
Roi	32	3	3.5368	0.0
souffert	32	3	3.5368	2.3333333
acclamées	7	2	3.4799	1.5
excités	7	2	3.4799	1.0
ressusciter	7	2	3.4799	1.0
gratitude	35	3	3.4202	0.0
indignation	84	4	3.418	0.5
repriso	8	2	3.3561	0.0
Sadi	156	5	3.3499	1.2
paroles	450	8	3.269	2.5
Bourso	9	2	3.2481	2.0
HONGROISES	9	2	3.2481	2.0
hourrahs	9	2	3.2481	0.5
Po	9	2	3.2481	0.0
trajet	41	3	3.2161	2.6666667
troupe	169	5	3.1925	2.0
pavoisée	42	3	3.1852	1.3333334
revenait	44	3	3.1258	2.3333333
rues	264	6	3.1228	2.5
cachaient	11	2	3.0664	0.5
Cris	11	2	3.0664	0.0
répété	48	3	3.015	0.0
criaient	12	2	2.9883	1.5
pointage	12	2	2.9883	1.5
municipal	622	9	2.9728	2.4444444
séparé	50	3	2.9633	1.6666666
quai	193	5	2.935	2.4
ville	1182	13	2.9195	2.3846154
distillateurs	13	2	2.9169	1.5
Martinez	13	2	2.9169	2.5
Republique	13	2	2.9169	0.0
Floquet	200	5	2.8668	1.2
armée	1978	18	2.8643	1.2222222
fusillade	14	2	2.8511	0.0
MEETINGS	14	2	2.8511	1.5
Campos	55	3	2.8431	1.6666666
chant	55	3	2.8431	1.6666666
auditoire	56	3	2.8205	0.6666667
monarchiques	57	3	2.7983	2.6666667
Répu	15	2	2.7901	1.0
gendarmerie	124	4	2.7861	2.0
chaleureux	60	3	2.7341	2.0
impatience	60	3	2.7341	0.0
classiques	16	2	2.7333	2.5
Healy	16	2	2.7333	1.0
répondait	62	3	2.6933	1.6666666
Empereur	17	2	2.6801	0.0
empereur	1579	15	2.6576	1.5333333
bancs	136	4	2.6401	2.25
Altesse	65	3	2.6346	0.33333334
Salamanca	65	3	2.6346	0.33333334
Marseillais	18	2	2.6301	1.0
Palais	137	4	2.6286	2.25
Dour	19	2	2.5829	2.0
reconnaissance	143	4	2.5615	1.5
Spuller	143	4	2.5615	1.0
expression	236	5	2.5551	0.8
chantant	20	2	2.5383	2.0
passons	20	2	2.5383	1.5
redevenu	20	2	2.5383	1.0
joie	146	4	2.5292	1.25
surprise	146	4	2.5292	1.0
amende	71	3	2.5255	1.6666666
prononcées	71	3	2.5255	1.6666666
mécontentement	72	3	2.5083	2.0
vivats	21	2	2.496	2.5
provoqué	152	4	2.4667	0.0
levant	22	2	2.4558	1.0
orthodoxe	22	2	2.4558	0.5
manifeste	360	6	2.4475	2.0
mots	360	6	2.4475	1.8333334
assistants	76	3	2.4421	1.3333334
c	893	10	2.43	1.1
témoignages	77	3	2.4261	1.3333334
rencontre	254	5	2.4196	0.6
Boulange	23	2	2.4174	2.0
presse	1200	12	2.4103	2.0
juif	24	2	2.3808	2.0
vivo	24	2	2.3808	0.5
régions	81	3	2.3644	1.0
part	2041	17	2.3566	2.0588236
exprimé	263	5	2.3561	0.4
écoulée	25	2	2.3457	2.0
incident	779	9	2.326	2.6666667
produite	168	4	2.3129	1.5
Mort	26	2	2.3121	0.5
découvre	27	2	2.2798	2.5
Démission	27	2	2.2798	0.0
allure	87	3	2.2778	0.33333334
animation	89	3	2.2504	0.0
quia	28	2	2.2488	0.5
croyez	90	3	2.237	1.3333334
douleur	90	3	2.237	0.6666667
Carnot	408	6	2.1885	1.8333334
commencé	289	5	2.1864	1.8
attentat	183	4	2.1834	3.0
voix	822	9	2.1798	1.3333334
agitent	31	2	2.1623	2.0
consulat	31	2	2.1623	0.5
saluée	31	2	2.1623	1.0
superbes	31	2	2.1623	2.0
surexcitation	31	2	2.1623	0.0
élevée	96	3	2.1597	1.0
séparer	96	3	2.1597	2.0
disant	416	6	2.1492	2.6666667
chapeau	99	3	2.123	1.3333334
tuer	99	3	2.123	1.0
isolés	33	2	2.1094	0.5
émue	34	2	2.0842	1.5
intime	104	3	2.0645	2.6666667
éclatent	35	2	2.0598	0.0
musulmans	35	2	2.0598	1.5
Rochefort	105	3	2.0532	0.33333334
ouvrier	200	4	2.0509	3.0
