date,Goblet
1887-01-01,1
1887-01-02,6
1887-01-03,2
1887-01-04,0
1887-01-05,7
1887-01-06,2
1887-01-07,2
1887-01-08,3
1887-01-09,2
1887-01-10,10
1887-01-11,2
1887-01-12,0
1887-01-13,6
1887-01-14,0
1887-01-15,0
1887-01-16,2
1887-01-17,4
1887-01-18,5
1887-01-19,0
1887-01-20,3
1887-01-21,9
1887-01-22,2
1887-01-23,4
1887-01-24,0
1887-01-25,0
1887-01-26,1
1887-01-27,0
1887-01-28,1
1887-01-29,2
1887-01-30,1
1887-01-31,0
1887-02-01,0
1887-02-02,2
1887-02-03,0
1887-02-04,0
1887-02-05,2
1887-02-06,1
1887-02-07,0
1887-02-08,0
1887-02-09,1
1887-02-10,1
1887-02-11,1
1887-02-12,0
1887-02-13,1
1887-02-14,0
1887-02-15,0
1887-02-16,0
1887-02-17,0
1887-02-18,0
1887-02-19,0
1887-02-20,1
1887-02-21,0
1887-02-22,0
1887-02-23,0
1887-02-24,0
1887-02-25,0
1887-02-26,1
1887-02-27,1
1887-02-28,2
1887-03-01,1
1887-03-02,0
1887-03-03,0
1887-03-04,1
1887-03-05,0
1887-03-06,2
1887-03-07,2
1887-03-08,2
1887-03-09,0
1887-03-10,0
1887-03-11,3
1887-03-12,1
1887-03-13,0
1887-03-14,0
1887-03-15,0
1887-03-16,3
1887-03-17,1
1887-03-18,3
1887-03-19,0
1887-03-20,1
1887-03-21,7
1887-03-22,2
1887-03-23,0
1887-03-24,0
1887-03-25,2
1887-03-26,0
1887-03-27,6
1887-03-28,7
1887-03-29,4
1887-03-30,1
1887-03-31,8
1887-04-01,12
1887-04-02,2
1887-04-03,3
1887-04-04,0
1887-04-05,2
1887-04-06,1
1887-04-07,0
1887-04-08,0
1887-04-09,2
1887-04-10,1
1887-04-11,2
1887-04-12,2
1887-04-13,0
1887-04-14,0
1887-04-15,0
1887-04-16,0
1887-04-17,0
1887-04-18,1
1887-04-19,0
1887-04-20,8
1887-04-21,0
1887-04-22,4
1887-04-23,3
1887-04-24,2
1887-04-25,1
1887-04-26,0
1887-04-27,1
1887-04-28,5
1887-04-29,0
1887-04-30,0
1887-05-01,1
1887-05-02,0
1887-05-03,0
1887-05-04,2
1887-05-05,0
1887-05-06,4
1887-05-07,2
1887-05-08,4
1887-05-09,10
1887-05-10,12
1887-05-11,1
1887-05-12,8
1887-05-13,7
1887-05-14,0
1887-05-15,4
1887-05-16,10
1887-05-17,4
1887-05-18,13
1887-05-19,13
1887-05-20,3
1887-05-21,2
1887-05-22,1
1887-05-23,2
1887-05-24,1
1887-05-25,3
1887-05-26,0
1887-05-27,0
1887-05-28,2
1887-05-29,1
1887-05-30,1
1887-05-31,5
1887-06-01,0
1887-06-02,0
1887-06-03,1
1887-06-04,0
1887-06-05,0
1887-06-06,1
1887-06-07,0
1887-06-08,0
1887-06-09,0
1887-06-10,0
1887-06-11,0
1887-06-12,0
1887-06-13,0
1887-06-14,0
1887-06-15,0
1887-06-16,0
1887-06-17,0
1887-06-18,1
1887-06-19,0
1887-06-20,0
1887-06-21,0
1887-06-22,0
1887-06-23,0
1887-06-24,1
1887-06-25,0
1887-06-26,1
1887-06-27,0
1887-06-28,0
1887-06-29,0
1887-06-30,0
1887-07-01,0
1887-07-02,0
1887-07-03,3
1887-07-04,0
1887-07-05,0
1887-07-06,2
1887-07-07,0
1887-07-08,7
1887-07-09,0
1887-07-10,0
1887-07-11,1
1887-07-12,1
1887-07-13,0
1887-07-14,0
1887-07-15,0
1887-07-16,0
1887-07-17,0
1887-07-18,0
1887-07-19,0
1887-07-20,0
1887-07-21,0
1887-07-22,0
1887-07-23,0
1887-07-24,0
1887-07-25,0
1887-07-26,0
1887-07-27,0
1887-07-28,0
1887-07-29,0
1887-07-30,0
1887-07-31,2
1887-08-01,0
1887-08-02,0
1887-08-03,1
1887-08-04,0
1887-08-05,0
1887-08-06,0
1887-08-07,1
1887-08-08,0
