date,Grévy
1887-01-01,2
1887-01-02,2
1887-01-03,4
1887-01-04,3
1887-01-05,0
1887-01-06,0
1887-01-07,10
1887-01-08,0
1887-01-09,2
1887-01-10,1
1887-01-11,2
1887-01-12,0
1887-01-13,0
1887-01-14,0
1887-01-15,0
1887-01-16,0
1887-01-17,0
1887-01-18,0
1887-01-19,0
1887-01-20,0
1887-01-21,0
1887-01-22,0
1887-01-23,1
1887-01-24,0
1887-01-25,0
1887-01-26,0
1887-01-27,0
1887-01-28,0
1887-01-29,0
1887-01-30,1
1887-01-31,0
1887-02-01,0
1887-02-02,0
1887-02-03,3
1887-02-04,0
1887-02-05,0
1887-02-06,1
1887-02-07,0
1887-02-08,0
1887-02-09,1
1887-02-10,0
1887-02-11,0
1887-02-12,1
1887-02-13,0
1887-02-14,1
1887-02-15,0
1887-02-16,0
1887-02-17,0
1887-02-18,1
1887-02-19,0
1887-02-20,1
1887-02-21,1
1887-02-22,2
1887-02-23,0
1887-02-24,0
1887-02-25,0
1887-02-26,1
1887-02-27,0
1887-02-28,1
1887-03-01,1
1887-03-02,0
1887-03-03,0
1887-03-04,0
1887-03-05,0
1887-03-06,0
1887-03-07,0
1887-03-08,0
1887-03-09,0
1887-03-10,0
1887-03-11,0
1887-03-12,0
1887-03-13,0
1887-03-14,1
1887-03-15,0
1887-03-16,0
1887-03-17,0
1887-03-18,1
1887-03-19,0
1887-03-20,0
1887-03-21,1
1887-03-22,0
1887-03-23,1
1887-03-24,0
1887-03-25,1
1887-03-26,0
1887-03-27,0
1887-03-28,0
1887-03-29,0
1887-03-30,0
1887-03-31,0
1887-04-01,0
1887-04-02,0
1887-04-03,0
1887-04-04,0
1887-04-05,0
1887-04-06,0
1887-04-07,0
1887-04-08,0
1887-04-09,0
1887-04-10,0
1887-04-11,0
1887-04-12,0
1887-04-13,0
1887-04-14,0
1887-04-15,0
1887-04-16,0
1887-04-17,0
1887-04-18,0
1887-04-19,0
1887-04-20,0
1887-04-21,0
1887-04-22,0
1887-04-23,0
1887-04-24,0
1887-04-25,0
1887-04-26,0
1887-04-27,0
1887-04-28,0
1887-04-29,0
1887-04-30,0
1887-05-01,0
1887-05-02,0
1887-05-03,0
1887-05-04,0
1887-05-05,1
1887-05-06,0
1887-05-07,0
1887-05-08,2
1887-05-09,0
1887-05-10,2
1887-05-11,1
1887-05-12,0
1887-05-13,0
1887-05-14,1
1887-05-15,1
1887-05-16,1
1887-05-17,0
1887-05-18,5
1887-05-19,5
1887-05-20,5
1887-05-21,5
1887-05-22,4
1887-05-23,4
1887-05-24,6
1887-05-25,12
1887-05-26,1
1887-05-27,9
1887-05-28,2
1887-05-29,3
1887-05-30,3
1887-05-31,3
1887-06-01,2
1887-06-02,0
1887-06-03,0
1887-06-04,0
1887-06-05,0
1887-06-06,2
1887-06-07,0
1887-06-08,2
1887-06-09,0
1887-06-10,0
1887-06-11,0
1887-06-12,1
1887-06-13,2
1887-06-14,0
1887-06-15,0
1887-06-16,0
1887-06-17,0
1887-06-18,0
1887-06-19,2
