frlemma	F
être	18204
do	15695
faire	10544
général	6771
bien	6249
grand	6121
prendre	5888
ministre	5782
gouvernement	5580
donner	5291
France	4917
jour	4767
dernier	4724
vouloir	4645
pouvoir	4621
partir	4516
venir	4506
voir	4421
demander	4361
nouveau	4343
question	4316
devoir	4212
heure	4197
SPÉCIAL	4060
hier	4031
avoir	3929
politique	3844
droit	3824
Paris	3823
trouver	3795
croire	3722
prince	3719
président	3692
contre	3685
SERVICE	3654
mettre	3591
guerre	3553
conseil	3396
falloir	3336
aujourd	3289
français	3270
homme	3238
savoir	3190
lieu	3095
aucun	3043
temps	3022
